iter	Passed	Remaining
1220	4600	1051
1221	4606	1047
1222	4610	1044
1223	4617	1041
1224	4622	1037
1225	4625	1033
1226	4629	1030
1227	4634	1026
1228	4637	1022
1229	4640	1018
1230	4642	1014
1231	4643	1010
1232	4645	1005
1233	4648	1002
1234	4652	998
1235	4656	994
1236	4659	990
1237	4663	986
1238	4669	983
1239	4674	980
1240	4678	976
1241	4681	972
1242	4685	968
1243	4689	965
1244	4695	961
1245	4697	957
1246	4700	953
1247	4704	949
1248	4712	947
1249	4715	943
1250	4722	939
1251	4728	936
1252	4733	933
1253	4737	929
1254	4745	926
1255	4748	922
1256	4754	919
1257	4759	915
1258	4767	912
1259	4782	910
1260	4791	908
1261	4795	904
1262	4800	900
1263	4805	897
1264	4809	893
1265	4817	890
1266	4819	886
1267	4826	883
1268	4829	879
1269	4834	875
1270	4837	871
1271	4841	867
1272	4846	864
1273	4849	860
1274	4853	856
1275	4857	852
1276	4861	848
1277	4864	845
1278	4869	841
1279	4872	837
1280	4876	833
1281	4879	829
1282	4883	825
1283	4888	822
1284	4890	818
1285	4892	814
1286	4893	809
1287	4895	805
1288	4896	801
1289	4898	797
1290	4901	793
1291	4903	789
1292	4905	785
1293	4907	781
1294	4909	777
1295	4910	773
1296	4912	768
1297	4914	764
1298	4916	760
1299	4918	756
1300	4919	752
1301	4922	748
1302	4922	744
1303	4924	740
1304	4926	736
1305	4928	732
1306	4930	728
1307	4932	724
1308	4934	719
1309	4936	715
1310	4938	711
1311	4939	707
1312	4941	703
1313	4943	699
1314	4944	695
1315	4950	692
1316	4953	688
1317	4958	684
1318	4963	681
1319	4968	677
1320	4973	673
1321	4978	670
1322	4982	666
1323	4989	663
1324	4995	659
1325	5002	656
1326	5008	652
1327	5012	649
1328	5023	646
1329	5035	643
1330	5041	640
1331	5046	636
1332	5054	633
1333	5060	629
1334	5073	627
1335	5080	623
1336	5087	620
1337	5094	616
1338	5112	614
1339	5121	611
1340	5129	608
1341	5146	605
1342	5162	603
1343	5182	601
1344	5200	599
1345	5210	596
1346	5217	592
1347	5221	588
1348	5225	584
1349	5235	581
1350	5240	577
1351	5247	574
1352	5257	571
1353	5259	567
1354	5270	564
1355	5282	560
1356	5294	557
1357	5304	554
1358	5306	550
1359	5319	547
1360	5329	544
1361	5335	540
1362	5339	536
1363	5347	533
1364	5349	529
1365	5353	525
1366	5356	521
1367	5359	517
1368	5361	512
1369	5362	508
1370	5364	504
1371	5366	500
1372	5367	496
1373	5369	492
1374	5370	488
1375	5372	484
1376	5374	480
1377	5376	475
1378	5379	472
1379	5382	468
1380	5384	463
1381	5386	459
1382	5388	455
1383	5390	451
1384	5392	447
1385	5394	443
1386	5396	439
1387	5397	435
1388	5399	431
1389	5401	427
1390	5404	423
1391	5408	419
1392	5411	415
1393	5414	411
1394	5418	407
1395	5422	403
1396	5426	400
1397	5429	396
1398	5432	392
1399	5436	388
1400	5441	384
1401	5451	381
1402	5462	377
1403	5466	373
1404	5470	369
1405	5473	365
1406	5476	362
1407	5482	358
1408	5485	354
1409	5488	350
1410	5492	346
1411	5495	342
1412	5500	338
1413	5503	334
1414	5507	330
1415	5512	326
1416	5515	323
1417	5518	319
1418	5521	315
1419	5530	311
1420	5536	307
1421	5541	303
1422	5548	300
1423	5554	296
1424	5563	292
1425	5571	289
1426	5577	285
1427	5579	281
1428	5584	277
1429	5591	273
1430	5598	269
1431	5605	266
1432	5611	262
1433	5620	258
1434	5631	255
1435	5639	251
1436	5647	247
1437	5658	243
1438	5661	240
1439	5671	236
1440	5675	232
1441	5678	228
1442	5682	224
1443	5685	220
1444	5689	216
1445	5692	212
1446	5696	208
1447	5700	204
1448	5703	200
1449	5708	196
1450	5712	192
1451	5715	188
1452	5722	185
1453	5726	181
1454	5730	177
1455	5737	173
1456	5741	169
1457	5746	165
1458	5750	161
1459	5754	157
1460	5760	153
1461	5764	149
1462	5767	145
1463	5768	141
1464	5771	137
1465	5777	133
1466	5778	129
1467	5779	125
1468	5782	122
1469	5783	118
1470	5785	114
1471	5786	110
1472	5788	106
1473	5789	102
1474	5791	98
1475	5792	94
1476	5794	90
1477	5796	86
1478	5799	82
1479	5801	78
1480	5802	74
1481	5804	70
1482	5806	66
1483	5807	62
1484	5809	58
1485	5811	54
1486	5812	50
1487	5814	46
1488	5816	42
1489	5817	39
1490	5819	35
1491	5820	31
1492	5822	27
1493	5823	23
1494	5825	19
1495	5826	15
1496	5828	11
1497	5829	7
1498	5831	3
1499	5832	0
